市区町村名,エリア名（通称）,大字・町名,字・丁目名
品川,島津山,東五反田,1
品川,,東五反田,3
品川,池田山,東五反田,4
品川,,東五反田,5
品川,御殿山,北品川,3
品川,,北品川,4
品川,,北品川,5
品川,,北品川,6
品川,,北品川,4
品川,八ツ山,上大崎,3
港,花房山,高輪,3
港,麻布・六本木,南麻布,1
港,,南麻布,2
港,,南麻布,3
港,,南麻布,4
港,,南麻布,5
港,,元麻布,1
港,,元麻布,2
港,,元麻布,3
港,,西麻布,1
港,,西麻布,2
港,,西麻布,3
港,,西麻布,4
港,,麻布十番,1
港,,麻布狸穴町,
港,,麻布永坂町,
港,赤坂,赤坂,7
港,,赤坂,8
港,白金台,白金台,1
港,,白金台,2
港,,白金台,3
港,,白金台,4
港,,白金台,5
港,三田,三田,1
港,,三田,2
港,,三田,3
港,,三田,4
港,,三田,5
港,青山・表参道エリア,南青山,1
港,,南青山,2
港,,南青山,3
港,,南青山,4
港,,南青山,5
港,,南青山,6
港,,南青山,7
文京,六義園・大和郷周辺エリア,本駒込,6
文京,,千駄木,2
文京,,千駄木,3
文京,,西片,1
文京,,西片,2
文京,椿山荘周辺エリア,小日向,1
文京,,小日向,2
文京,,小日向,3
文京,,目白台,1
文京,,目白台,2
文京,,目白台,3
文京,,関口,1
文京,,関口,2
文京,,関口,3
文京,,小石川,1
文京,,小石川,2
文京,,小石川,3
文京,,小石川,4
文京,,小石川,5
文京,,白山,1
文京,,白山,2
文京,,白山,3
文京,,白山,4
文京,,白山,5
新宿,市ヶ谷・神楽坂エリア,神楽坂,6
新宿,,市谷砂土原町,1
新宿,,市谷砂土原町,2
新宿,,市谷砂土原町,3
新宿,,市谷加賀町,2
新宿,,市谷甲良町,
新宿,,市谷薬王寺町,
新宿,,市谷仲之町,
新宿,,若宮町,
新宿,,南町,
新宿,目白エリア,下落合,1
新宿,,下落合,2
新宿,,下落合,3
新宿,,下落合,4
豊島,目白エリア,目白,2
豊島,,目白,3
豊島,,目白,4
豊島,,目白,5
豊島,,西池袋,1
豊島,,西池袋,2
豊島,,西池袋,3
豊島,,西池袋,4
豊島,,西池袋,5
渋谷,松涛,松涛,1
渋谷,,松涛,2
渋谷,神山町,神山町,
渋谷,富ケ谷,富ケ谷,1
渋谷,,富ケ谷,2
渋谷,広尾,広尾,1
渋谷,,広尾,2
渋谷,,広尾,3
渋谷,,広尾,4
渋谷,,広尾,5
渋谷,青山・表参道エリア,神宮前,2
渋谷,,神宮前,3
渋谷,,神宮前,4
渋谷,,神宮前,5
渋谷,恵比寿エリア,恵比寿,2
渋谷,,恵比寿,3
渋谷,,恵比寿,4
渋谷,代々木上原エリア,大山町,
渋谷,,上原,1
渋谷,,上原,2
渋谷,,上原,3
渋谷,,西原,1
渋谷,,西原,2
渋谷,,西原,3
渋谷,代官山・青葉台エリア,代官山町,
渋谷,,鉢山町,
渋谷,,猿楽町,
渋谷,,南平台町,
渋谷,,鶯谷町,
目黒,代官山・青葉台エリア,青葉台,1
目黒,代官山・青葉台エリア,青葉台,2
目黒,代官山・青葉台エリア,青葉台,3
目黒,代官山・青葉台エリア,青葉台,4
目黒,八雲,八雲,1
目黒,,八雲,2
目黒,,八雲,3
目黒,,八雲,4
目黒,,八雲,5
目黒,柿の木坂,柿の木坂,1
目黒,,柿の木坂,2
目黒,,柿の木坂,3
目黒,自由が丘,自由が丘,1
目黒,,自由が丘,2
目黒,,自由が丘,3
目黒,緑が丘,緑が丘,1
目黒,,緑が丘,2
目黒,,緑が丘,3
目黒,平町,平町,1
目黒,,平町,2
目黒,碑文谷,碑文谷,1
目黒,,碑文谷,2
目黒,,碑文谷,3
目黒,,碑文谷,4
目黒,,碑文谷,5
目黒,,碑文谷,6
目黒,中根,中根,1
目黒,,中根,2
目黒,東が丘,東が丘,1
目黒,,東が丘,2
目黒,恵比寿,三田,1
目黒,,三田,2
世田谷,田園調布エリア,玉川田園調布,1
世田谷,,玉川田園調布,2
世田谷,,奥沢,1
世田谷,,奥沢,2
世田谷,,奥沢,3
世田谷,,奥沢,4
世田谷,,奥沢,5
世田谷,,奥沢,6
世田谷,,奥沢,7
世田谷,,奥沢,8
世田谷,成城エリア,成城,1
世田谷,,成城,2
世田谷,,成城,3
世田谷,,成城,4
世田谷,,成城,5
世田谷,,成城,6
世田谷,,成城,7
世田谷,,成城,8
世田谷,,成城,9
世田谷,桜新町・深沢エリア,深沢,1
世田谷,,深沢,2
世田谷,,深沢,3
世田谷,,深沢,4
世田谷,,深沢,5
世田谷,,深沢,6
世田谷,,深沢,7
世田谷,,深沢,8
世田谷,,桜新町,1
世田谷,,桜新町,2
世田谷,,弦巻,1
世田谷,,弦巻,2
世田谷,,弦巻,3
世田谷,,弦巻,4
世田谷,,弦巻,5
世田谷,瀬田・上野毛エリア,瀬田,1
世田谷,,瀬田,2
世田谷,,瀬田,3
世田谷,,瀬田,4
世田谷,,瀬田,5
世田谷,,上野毛,1
世田谷,,上野毛,2
世田谷,,上野毛,3
世田谷,,上野毛,4
世田谷,等々力・尾山台エリア,等々力,1
世田谷,,等々力,2
世田谷,,等々力,3
世田谷,,等々力,4
世田谷,,等々力,5
世田谷,,等々力,6
世田谷,,等々力,7
世田谷,,等々力,8
世田谷,,尾山台,1
世田谷,,尾山台,2
世田谷,,尾山台,3
世田谷,下北沢エリア,代田,1
世田谷,,代田,2
世田谷,,代田,3
世田谷,,代田,4
世田谷,,代田,5
世田谷,,代田,6
世田谷,,北沢,1
世田谷,,北沢,3
世田谷,,北沢,4
世田谷,,北沢,5
世田谷,,代沢,1
世田谷,,代沢,2
世田谷,,代沢,3
世田谷,,代沢,4
杉並,永福・浜田山エリア,永福,1
杉並,,永福,2
杉並,,永福,3
杉並,,永福,4
杉並,,浜田山,1
杉並,,浜田山,2
杉並,,浜田山,3
杉並,,浜田山,4
杉並,荻窪・西荻窪エリア,荻窪,1
杉並,,荻窪,2
杉並,,荻窪,3
杉並,,荻窪,4
杉並,,荻窪,5
杉並,,南荻窪,1
杉並,,南荻窪,2
杉並,,南荻窪,3
杉並,,南荻窪,4
杉並,,西荻南,1
杉並,,西荻南,2
杉並,,西荻南,3
杉並,,西荻南,4
杉並,,西荻北,1
杉並,,西荻北,2
杉並,,西荻北,3
杉並,,西荻北,4
杉並,,西荻北,5
杉並,,松庵,1
杉並,,松庵,2
杉並,,松庵,3
杉並,,善福寺,1
杉並,,善福寺,2
杉並,,善福寺,3
杉並,,善福寺,4
大田,田園調布エリア,田園調布,1
大田,,田園調布,2
大田,,田園調布,3
大田,,田園調布,4
大田,,田園調布,5
練馬,石神井公園,石神井町,1
練馬,,石神井町,2
練馬,,石神井町,3
練馬,,石神井町,4
練馬,,石神井町,5
練馬,,石神井町,6
練馬,,石神井町,7
練馬,,石神井町,8